Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00001	20274	16816	12918	13963	19411	3941
gene-SAOUHSC_00002	15764	12018	11021	11920	14852	2074
gene-SAOUHSC_00003	1563	1187	823	1316	966	120
gene-SAOUHSC_00004	13756	11299	9790	7511	6652	838
gene-SAOUHSC_00005	29311	26226	24022	12009	12058	3489
gene-SAOUHSC_00006	44453	32818	31606	18724	12298	3969
gene-SAOUHSC_00007	6826	4722	4597	3491	4979	1203
gene-SAOUHSC_00008	2698	2249	2073	1183	1843	293
gene-SAOUHSC_00009	2193	1837	1231	40144	77817	13343
gene-SAOUHSC_00010	180	160	131	2079	4572	264
gene-SAOUHSC_00012	156	134	125	1141	2740	294
gene-SAOUHSC_00013	1065	1123	814	4541	8794	1869
gene-SAOUHSC_00014	4446	3337	3393	6863	8752	1160
gene-SAOUHSC_00015	25516	21614	22208	20768	25714	5807
gene-SAOUHSC_00017	6336	5502	5626	5227	6490	1042
gene-SAOUHSC_00018	11558	10261	8628	14270	19467	6288
gene-SAOUHSC_00019	6812	6149	6752	8514	5185	3211
gene-SAOUHSC_T00018	86	42	38	47	7	130
gene-SAOUHSC_T00011	369	361	158	229	31	200
gene-SAOUHSC_00020	3652	3430	2550	3872	5961	917
gene-SAOUHSC_00021	11930	10337	8060	11274	13059	6156
gene-SAOUHSC_00022	12712	10827	8932	10214	12005	1984
gene-SAOUHSC_00023	9425	7781	7245	6815	8107	2075
gene-SAOUHSC_00024	2402	1433	1562	1278	1035	364
gene-SAOUHSC_00025	1632	1136	1207	1004	1377	657
gene-SAOUHSC_00026	375	230	342	62	49	16
gene-SAOUHSC_00027	1258	1126	865	1244	2107	677
gene-SAOUHSC_00028	2	3	3	2	0	3
